-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
     800.0000      55.5139       12.4699       -84.2341      120.8801      21.8369       -50.9321      
     1000.0000     61.0088       24.1231       -109.7363     133.8594      33.4901       -76.4342      
     1200.0000     64.4269       36.6780       -137.6761     145.2950      46.0450       -104.3740     
     1400.0000     67.2119       49.8517       -167.7688     155.4432      59.2187       -134.4667     
     1600.0000     69.4493       63.5263       -199.7854     164.5698      72.8932       -166.4833     
     1800.0000     71.2190       77.6002       -233.5408     172.8561      86.9672       -200.2387     
     2000.0000     72.5943       91.9876       -268.8807     180.4341      101.3545      -235.5786     
     2200.0000     73.6428       106.6162      -305.6740     187.4046      115.9832      -272.3719     
     2400.0000     74.4262       121.4270      -343.8074     193.8477      130.7940      -310.5054     
     2600.0000     74.9997       136.3727      -383.1823     199.8288      145.7397      -349.8802     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C6H5CO
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 5.0000
     O 1.0000
   Formation Enthalpy at 298K =          24.1860 kcal/mol
   Formation Free Gibbs Energy at 298K = -0.2043 kcal/mol
   Molecular Weight =                    105.1160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      27.0745       24.2400       -0.3682       82.0270       0.0540        -0.1639       
     600.0000      44.7121       35.2595       -28.8092      106.7812      11.0736       -28.6049      
     800.0000      51.8796       44.9657       -51.5889      120.6933      20.7798       -51.3846      
     1000.0000     56.7401       55.8582       -76.9678      132.8260      31.6722       -76.7636      
     1200.0000     60.1432       67.5652       -104.6214     143.4889      43.3793       -104.4171     
     1400.0000     62.6485       79.8565       -134.2839     152.9575      55.6706       -134.0796     
     1600.0000     64.4376       92.5712       -165.7389     161.4438      68.3853       -165.5346     
     1800.0000     65.8879       105.6090      -198.8076     169.1203      81.4230       -198.6033     
     2000.0000     67.0486       118.9071      -233.3423     176.1247      94.7211       -233.1380     
     2200.0000     67.9654       132.4122      -269.2195     182.5599      108.2262      -269.0153     
     2400.0000     68.6799       146.0797      -306.3337     188.5056      121.8938      -306.1294     
     2600.0000     69.2301       159.8732      -344.5934     194.0256      135.6872      -344.3891     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C7H7
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 7.0000
   Formation Enthalpy at 298K =          50.3013 kcal/mol
   Formation Free Gibbs Energy at 298K = 27.4355 kcal/mol
   Molecular Weight =                    91.1330 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.2307       50.3536       27.2818       76.9060       0.0523        -0.1536       
     600.0000      46.4634       61.4997       0.3936        101.8435      11.1983       -27.0419      
     800.0000      54.4875       71.6589       -21.4622      116.4014      21.3576       -48.8977      
     1000.0000     60.2176       83.1357       -46.0471      129.1829      32.8344       -73.4826      
     1200.0000     63.9209       95.5617       -73.0385      140.5002      45.2603       -100.4740     
     1400.0000     66.9465       108.6589      -102.1656     150.5889      58.3576       -129.6010     
     1600.0000     69.3856       122.3012      -133.2087     159.6937      71.9998       -160.6441     
     1800.0000     71.3228       136.3797      -165.9887     167.9825      86.0784       -193.4242     
     2000.0000     72.8363       150.8021      -200.3556     175.5788      100.5007      -227.7910     
     2200.0000     73.9980       165.4908      -236.1805     182.5779      115.1895      -263.6160     
     2400.0000     74.8734       180.3822      -273.3520     189.0559      130.0809      -300.7875     
     2600.0000     75.5216       195.4250      -311.7723     195.0759      145.1237      -339.2078     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3C6H4
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 7.0000
   Formation Enthalpy at 298K =          74.4882 kcal/mol
   Formation Free Gibbs Energy at 298K = 50.3698 kcal/mol
   Molecular Weight =                    91.1330 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      24.9175       74.5379       50.2078       81.1004       0.0497        -0.1620       
     600.0000      44.9212       85.2105       22.2394       104.9518      10.7223       -28.1304      
     800.0000      53.1237       95.0813       -0.1936       119.0936      20.5931       -50.5634      
     1000.0000     59.0235       106.2982      -25.2862      131.5844      31.8100       -75.6560      
     1200.0000     62.8850       118.5015      -52.7365      142.6984      44.0133       -103.1063     
     1400.0000     66.0487       131.4057      -82.2876      152.6381      56.9175       -132.6573     
     1600.0000     68.6078       144.8807      -113.7288     161.6309      70.3925       -164.0985     
     1800.0000     70.6485       158.8143      -146.8874     169.8343      84.3261       -197.2572     
     2000.0000     72.2511       173.1109      -181.6176     177.3643      98.6227       -231.9874     
     2200.0000     73.4890       187.6904      -217.7943     184.3112      113.2022      -268.1640     
     2400.0000     74.4293       202.4867      -255.3081     190.7479      127.9985      -305.6779     
     2600.0000     75.1324       217.4464      -294.0634     196.7345      142.9582      -344.4332     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C6H5O
 ====================================================================================================
   Elemental Composition:
     H 5.0000
     C 6.0000
     O 1.0000
   Formation Enthalpy at 298K =          12.9014 kcal/mol
   Formation Free Gibbs Energy at 298K = -9.3053 kcal/mol
   Molecular Weight =                    93.1050 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      23.9998       12.9493       -9.4545       74.6793       0.0479        -0.1492       
     600.0000      40.0850       22.7198       -35.2446      96.6073       9.8184        -25.9393      
     800.0000      46.9997       31.4797       -55.8482      109.1599      18.5783       -46.5429      
     1000.0000     51.2549       41.3400       -78.8036      120.1436      28.4386       -69.4983      
     1200.0000     54.1961       51.8969       -103.8142     129.7592      38.9955       -94.5089      
     1400.0000     56.5010       62.9762       -130.6355     138.2941      50.0748       -121.3302     
     1600.0000     58.2815       74.4624       -159.0740     145.9603      61.5610       -149.7687     
     1800.0000     59.6353       86.2604       -188.9717     152.9067      73.3590       -179.6664     
     2000.0000     60.6501       98.2939       -220.1962     159.2451      85.3925       -210.8909     
     2200.0000     61.4035       110.5031      -252.6351     165.0628      97.6017       -243.3297     
     2400.0000     61.9634       122.8425      -286.1914     170.4308      109.9411      -276.8861     
     2600.0000     62.3872       135.2794      -320.7813     175.4080      122.3780      -311.4760     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CYC6H4
 ====================================================================================================
   Elemental Composition:
     C 6.0000
     H 4.0000
   Formation Enthalpy at 298K =          110.1992 kcal/mol
   Formation Free Gibbs Energy at 298K = 90.0308 kcal/mol
   Molecular Weight =                    76.0980 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      18.8454       110.2368      89.8953       67.8049       0.0376        -0.1355       
     600.0000      33.2167       118.2229      66.8168       85.6769       8.0237        -23.2140      
     800.0000      38.7259       125.4652      48.6201       96.0564       15.2660       -41.4107      
     1000.0000     42.6044       133.5996      28.4834       105.1162      23.4003       -61.5475      
     1200.0000     45.0865       142.3767      6.6439        113.1106      32.1775       -83.3869      
     1400.0000     47.1168       151.6040      -16.7020      120.2186      41.4048       -106.7328     
     1600.0000     48.7560       161.1974      -41.3966      126.6212      50.9981       -131.4274     
     1800.0000     50.0602       171.0841      -67.3118      132.4422      60.8849       -157.3426     
     2000.0000     51.0815       181.2026      -94.3408      137.7717      71.0034       -184.3716     
     2200.0000     51.8677       191.5010      -122.3923     142.6788      81.3018       -212.4232     
     2400.0000     52.4623       201.9369      -151.3878     147.2186      91.7377       -241.4186     
     2600.0000     52.9047       212.4758      -181.2583     151.4362      102.2766      -271.2891     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE OC6H4OH
 ====================================================================================================
   Elemental Composition:
     H 5.0000
     C 6.0000
     O 2.0000
   Formation Enthalpy at 298K =          -36.9652 kcal/mol
   Formation Free Gibbs Energy at 298K = -60.6355 kcal/mol
   Molecular Weight =                    109.1040 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      25.9915       -36.9134      -60.7946      79.6039       0.0518        -0.1590       
     600.0000      44.8797       -26.0264      -88.4247      103.9971      10.9388       -27.7892      
     800.0000      51.9985       -16.2773      -110.6544     117.9714      20.6880       -50.0188      
     1000.0000     56.9108       -5.3791       -135.4897     130.1106      31.5862       -74.8541      
     1200.0000     60.3385       6.3617        -162.6032     140.8041      43.3269       -101.9677     
     1400.0000     62.9248       18.7003       -191.7323     150.3090      55.6655       -131.0967     
     1600.0000     64.8683       31.4889       -222.6623     158.8445      68.4541       -162.0268     
     1800.0000     66.3359       44.6160       -255.2164     166.5735      81.5812       -194.5808     
     2000.0000     67.4633       58.0006       -289.2465     173.6235      94.9658       -228.6110     
     2200.0000     68.3544       71.5856       -324.6274     180.0968      108.5508      -263.9919     
     2400.0000     69.0815       85.3315       -361.2523     186.0766      122.2967      -300.6168     
     2600.0000     69.6857       99.2101       -399.0297     191.6307      136.1753      -338.3941     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C6H4O2
 ====================================================================================================
   Elemental Composition:
     H 4.0000
     C 6.0000
     O 2.0000
   Formation Enthalpy at 298K =          -27.6241 kcal/mol
   Formation Free Gibbs Energy at 298K = -50.6100 kcal/mol
   Molecular Weight =                    108.0960 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      25.4451       -27.5734      -50.7644      77.3035       0.0508        -0.1544       
     600.0000      42.0365       -17.2308      -77.5501      100.5322      10.3933       -26.9402      
     800.0000      48.4838       -8.1273       -98.9932      113.5824      19.4968       -48.3832      
     1000.0000     52.9512       2.0273        -122.8664     124.8937      29.6514       -72.2564      
     1200.0000     56.0606       12.9433       -148.8602     134.8362      40.5674       -98.2502      
     1400.0000     58.3841       24.3992       -176.7266     143.6613      52.0233       -126.1166     
     1600.0000     60.1115       36.2573       -206.2641     151.5758      63.8814       -155.6541     
     1800.0000     61.4021       48.4147       -237.3066     158.7341      76.0389       -186.6966     
     2000.0000     62.3844       60.7976       -269.7154     165.2565      88.4217       -219.1054     
     2200.0000     63.1563       73.3545       -303.3733     171.2399      100.9787      -252.7633     
     2400.0000     63.7852       86.0507       -338.1807     176.7631      113.6748      -287.5707     
     2600.0000     64.3076       98.8616       -374.0521     181.8899      126.4857      -323.4421     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C7H7O2
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 7.0000
     O 2.0000
   Formation Enthalpy at 298K =          29.1905 kcal/mol
   Formation Free Gibbs Energy at 298K = 0.8545 kcal/mol
   Molecular Weight =                    123.1310 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      31.9406       29.2542       0.6641        95.3002       0.0637        -0.1904       
     600.0000      54.6816       42.5686       -32.5215      125.1502      13.3782       -33.3760      
     800.0000      63.6071       54.4640       -59.2953      142.1991      25.2735       -60.1498      
     1000.0000     69.6232       67.8158       -89.2553      157.0711      38.6253       -90.1098      
     1200.0000     73.6151       82.2083       -122.0235     170.1931      53.0178       -122.8779     
     1400.0000     76.7173       97.2533       -157.2429     181.7830      68.0629       -158.0973     
     1600.0000     79.1686       112.8518      -194.6582     192.1938      83.6614       -195.5127     
     1800.0000     81.0776       128.8847      -234.0558     201.6336      99.6942       -234.9102     
     2000.0000     82.5431       145.2534      -275.2572     210.2553      116.0629      -276.1117     
     2200.0000     83.6538       161.8783      -318.1113     218.1771      132.6878      -318.9657     
     2400.0000     84.4885       178.6965      -362.4877     225.4934      149.5060      -363.3422     
     2600.0000     85.1162       195.6599      -408.2735     232.2821      166.4694      -409.1279     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE O2C6H4CH3
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 7.0000
     O 2.0000
   Formation Enthalpy at 298K =          25.7952 kcal/mol
   Formation Free Gibbs Energy at 298K = -1.6577 kcal/mol
   Molecular Weight =                    123.1310 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      31.8929       25.8588       -1.8422       92.3367       0.0636        -0.1845       
     600.0000      54.4397       39.1779       -34.1462      122.2068      13.3826       -32.4885      
     800.0000      62.9733       50.9819       -60.3198      139.1271      25.1866       -58.6621      
     1000.0000     68.5790       64.1732       -89.6484      153.8217      38.3780       -87.9907      
     1200.0000     72.5730       78.3073       -121.7271     166.6954      52.5120       -120.0694     
     1400.0000     75.7118       93.1467       -156.2306     178.1266      67.3514       -154.5729     
     1600.0000     78.0275       108.5291      -192.9003     188.3934      82.7339       -191.2426     
     1800.0000     79.9199       124.3302      -231.5239     197.6967      98.5350       -229.8662     
     2000.0000     81.4582       140.4735      -271.9258     206.1996      114.6782      -270.2680     
     2200.0000     82.6960       156.8935      -313.9585     214.0236      131.0982      -312.3008     
     2400.0000     83.6822       173.5351      -357.4963     221.2631      147.7398      -355.8386     
     2600.0000     84.4614       190.3525      -402.4299     227.9932      164.5573      -400.7721     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE OC6H4CH2
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 6.0000
     O 1.0000
   Formation Enthalpy at 298K =          12.7949 kcal/mol
   Formation Free Gibbs Energy at 298K = -10.9646 kcal/mol
   Molecular Weight =                    106.1240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      27.0482       12.8488       -11.1242      79.9102       0.0539        -0.1596       
     600.0000      47.1154       24.2156       -39.0043      105.3666      11.4207       -28.0397      
     800.0000      55.2580       34.5164       -61.5853      120.1271      21.7215       -50.6207      
     1000.0000     60.3576       46.1135       -86.9317      133.0452      33.3186       -75.9671      
     1200.0000     64.1549       58.5788       -114.6989     144.3981      45.7839       -103.7343     
     1400.0000     67.1776       71.7239       -144.6093     154.5237      58.9290       -133.6447     
     1600.0000     69.5495       85.4064       -176.4423     163.6555      72.6115       -165.4777     
     1800.0000     71.3831       99.5078       -210.0163     171.9578      86.7129       -199.0517     
     2000.0000     72.7807       113.9306      -245.1784     179.5545      101.1357      -234.2138     
     2200.0000     73.8334       128.5971      -281.7976     186.5431      115.8022      -270.8330     
     2400.0000     74.6219       143.4464      -319.7604     193.0029      130.6515      -308.7958     
     2600.0000     75.2160       158.4329      -358.9680     199.0003      145.6380      -348.0034     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C6H5CH2O
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 7.0000
     O 1.0000
   Formation Enthalpy at 298K =          27.9661 kcal/mol
   Formation Free Gibbs Energy at 298K = 1.9904 kcal/mol
   Molecular Weight =                    107.1320 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.2270       28.0184       1.8159        87.3417       0.0523        -0.1745       
     600.0000      47.8773       39.4164       -28.2695      112.8098      11.4503       -30.2599      
     800.0000      57.0506       49.9648       -52.3708      127.9195      21.9987       -54.3612      
     1000.0000     63.4289       62.0509       -79.3268      141.3777      34.0848       -81.3172      
     1200.0000     67.9331       75.2120       -108.8236     153.3630      47.2459       -110.8140     
     1400.0000     71.2172       89.1439       -140.5885     164.0946      61.1778       -142.5789     
     1600.0000     73.5945       103.6331      -174.3907     173.7649      75.6670       -176.3810     
     1800.0000     75.5242       118.5519      -210.0355     182.5485      90.5858       -212.0258     
     2000.0000     77.0714       133.8173      -247.3606     190.5890      105.8512      -249.3510     
     2200.0000     78.2959       149.3589      -286.2288     197.9944      121.3929      -288.2191     
     2400.0000     79.2527       165.1178      -326.5217     204.8498      137.1517      -328.5121     
     2600.0000     79.9916       181.0455      -368.1366     211.2239      153.0794      -370.1270     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE BZCOOH
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 8.0000
     O 2.0000
   Formation Enthalpy at 298K =          -5.3550 kcal/mol
   Formation Free Gibbs Energy at 298K = -35.0815 kcal/mol
   Molecular Weight =                    124.1390 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      33.5151       -5.2882       -35.2812      99.9767       0.0668        -0.1997       
     600.0000      57.5490       8.7105        -70.1042      131.3578      14.0655       -35.0228      
     800.0000      67.3626       21.2656       -98.2141      149.3496      26.6206       -63.1326      
     1000.0000     74.0208       35.4460       -129.6973     165.1433      40.8010       -94.6158      
     1200.0000     78.6544       50.7398       -164.1471     179.0724      56.0948       -129.0656     
     1400.0000     82.0000       66.8239       -201.2238     191.4626      72.1789       -166.1423     
     1600.0000     84.3276       83.4648       -240.6466     202.5696      88.8198       -205.5651     
     1800.0000     86.2019       100.5247      -282.1810     212.6143      105.8797      -247.0995     
     2000.0000     87.6901       117.9198      -325.6335     221.7767      123.2748      -290.5521     
     2200.0000     88.8543       135.5792      -370.8419     230.1914      140.9342      -335.7604     
     2400.0000     89.7510       153.4437      -417.6672     237.9629      158.7987      -382.5858     
     2600.0000     90.4316       171.4651      -465.9897     245.1750      176.8201      -430.9083     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C6H5O2
 ====================================================================================================
   Elemental Composition:
     H 5.0000
     C 6.0000
     O 2.0000
   Formation Enthalpy at 298K =          34.1777 kcal/mol
   Formation Free Gibbs Energy at 298K = 9.9285 kcal/mol
   Molecular Weight =                    109.1040 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      25.8940       34.2293       9.7656        81.5457       0.0516        -0.1629       
     600.0000      44.8534       45.0902       -18.4343      105.8741      10.9125       -28.3628      
     800.0000      51.8207       54.8236       -41.0378      119.8268      20.6459       -50.9663      
     1000.0000     56.6332       65.6677       -66.2385      131.9062      31.4901       -76.1670      
     1200.0000     59.9492       77.3414       -93.7052      142.5389      43.1638       -103.6337     
     1400.0000     62.4447       89.5928       -123.1746     151.9767      55.4151       -133.1031     
     1600.0000     64.3141       102.2777      -154.4313     160.4431      68.1000       -164.3598     
     1800.0000     65.7209       115.2877      -187.2982     168.1032      81.1100       -197.2267     
     2000.0000     66.7978       128.5441      -221.6274     175.0858      94.3664       -231.5559     
     2200.0000     67.6464       141.9916      -257.2942     181.4936      107.8140      -267.2227     
     2400.0000     68.3375       155.5922      -294.1922     187.4102      121.4146      -304.1207     
     2600.0000     68.9110       169.3189      -332.2301     192.9034      135.1412      -342.1586     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE RBBENZ
 ====================================================================================================
   Elemental Composition:
     C 14.0000
     H 13.0000
   Formation Enthalpy at 298K =          67.2462 kcal/mol
   Formation Free Gibbs Energy at 298K = 32.9513 kcal/mol
   Molecular Weight =                    181.2580 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      48.7179       67.3433       32.7208       115.4083      0.0971        -0.2305       
     600.0000      87.8128       88.3324       -9.0700       162.3372      21.0862       -42.0213      
     800.0000      104.2272      107.6409      -44.3572      189.9976      40.3947       -77.3085      
     1000.0000     115.2983      129.6679      -84.8597      214.5275      62.4216       -117.8110     
     1200.0000     122.5062      153.4681      -129.9769     236.2041      86.2218       -162.9282     
     1400.0000     128.6799      178.6026      -179.1876     255.5644      111.3564      -212.1389     
     1600.0000     133.9552      204.8802      -232.0814     273.1010      137.6339      -265.0327     
     1800.0000     138.4413      232.1321      -288.3287     289.1449      164.8859      -321.2800     
     2000.0000     142.2395      260.2108      -347.6558     303.9333      192.9646      -380.6071     
     2200.0000     145.4433      288.9883      -409.8303     317.6448      221.7421      -442.7816     
     2400.0000     148.1381      318.3542      -474.6513     330.4190      251.1080      -507.6026     
     2600.0000     150.4013      348.2148      -541.9429     342.3683      280.9685      -574.8942     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE STILB
 ====================================================================================================
   Elemental Composition:
     C 14.0000
     H 12.0000
   Formation Enthalpy at 298K =          57.9212 kcal/mol
   Formation Free Gibbs Energy at 298K = 25.6318 kcal/mol
   Molecular Weight =                    180.2500 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      48.2740       58.0174       25.4148       108.6752      0.0962        -0.2170       
     600.0000      87.3281       78.8954       -14.3132      155.3477      20.9743       -39.9450      
     800.0000      103.0049      98.0421       -48.1821      182.7803      40.1210       -73.8139      
     1000.0000     113.0503      119.7217      -87.2053      206.9269      61.8005       -112.8371     
     1200.0000     120.1924      143.0735      -130.7604     228.1949      85.1523       -156.3923     
     1400.0000     126.0742      167.7188      -178.3314     247.1787      109.7976      -203.9633     
     1600.0000     130.9156      193.4338      -229.5107     264.3404      135.5127      -255.1426     
     1800.0000     134.8632      220.0254      -283.9674     279.9960      162.1043      -309.5992     
     2000.0000     138.0520      247.3285      -341.4242     294.3764      189.4074      -367.0561     
     2200.0000     140.6051      275.2039      -401.6448     307.6585      217.2827      -427.2766     
     2400.0000     142.6337      303.5356      -464.4239     319.9831      245.6145      -490.0557     
     2600.0000     144.2374      332.2291      -529.5819     331.4658      274.3079      -555.2138     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE HOC6H4CH2
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 7.0000
     O 1.0000
   Formation Enthalpy at 298K =          5.2254 kcal/mol
   Formation Free Gibbs Energy at 298K = -19.8754 kcal/mol
   Molecular Weight =                    107.1320 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      28.5884       5.2824        -20.0440      84.4214       0.0570        -0.1687       
     600.0000      50.2071       17.4133       -49.5366      111.5832      12.1879       -29.6613      
     800.0000      58.8582       28.3791       -73.4584      127.2969      23.1537       -53.5831      
     1000.0000     64.7274       40.7712       -100.3275     141.0987      35.5458       -80.4521      
     1200.0000     70.5039       54.3198       -129.8009     153.4339      49.0944       -109.9255     
     1400.0000     75.1375       68.9007       -161.6275     164.6630      63.6753       -141.7521     
     1600.0000     78.8440       84.3130       -195.6032     174.9476      79.0876       -175.7278     
     1800.0000     81.7660       100.3860      -231.5518     184.4099      95.1606       -211.6764     
     2000.0000     84.0340       116.9759      -269.3188     193.1474      111.7505      -249.4435     
     2200.0000     85.7666       133.9639      -308.7679     201.2417      128.7385      -288.8925     
     2400.0000     87.0698       151.2539      -349.7773     208.7630      146.0285      -329.9020     
     2600.0000     88.0378       168.7695      -392.2389     215.7725      163.5441      -372.3636     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE OC6H4CH3
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 7.0000
     O 1.0000
   Formation Enthalpy at 298K =          3.7286 kcal/mol
   Formation Free Gibbs Energy at 298K = -21.2414 kcal/mol
   Molecular Weight =                    107.1320 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      27.5214       3.7835        -21.4091      83.9755       0.0549        -0.1678       
     600.0000      48.8137       15.5339       -50.6287      110.2710      11.8053       -29.3874      
     800.0000      57.3891       26.2127       -74.2452      125.5724      22.4841       -53.0039      
     1000.0000     63.2386       38.3076       -100.7351     139.0427      34.5789       -79.4937      
     1200.0000     69.0853       51.5656       -129.7697     151.1128      47.8370       -108.5284     
     1400.0000     73.8070       65.8712       -161.1101     162.1295      62.1426       -139.8688     
     1600.0000     77.6187       81.0278       -194.5614     172.2433      77.2991       -173.3201     
     1800.0000     80.6570       96.8672       -229.9549     181.5678      93.1385       -208.7135     
     2000.0000     83.0468       113.2474      -267.1421     190.1947      109.5187      -245.9007     
     2200.0000     84.9017       130.0503      -305.9914     198.2008      126.3216      -284.7500     
     2400.0000     86.3239       147.1792      -346.3854     205.6519      143.4506      -325.1440     
     2600.0000     87.4041       164.5570      -388.2191     212.6062      160.8284      -366.9777     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CRESOL
 ====================================================================================================
   Elemental Composition:
     C 7.0000
     H 8.0000
     O 1.0000
   Formation Enthalpy at 298K =          -30.7745 kcal/mol
